FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate (2015-2019),Annual Unemployment Rate (2015-2019),Below Poverty,Uninsured,Monthly Unemployment Rate (Dec-22)
27115,Pine County,Minnesota,0.9359411252900232,0.22784947795823665,0.4133,59840.0,0.5654747020088355,0.06168926886792453,0.06121855460229751,0.06405887470997684,0.064
27115,Pine County,Minnesota,0.9359411252900232,0.22784947795823665,0.4133,59840.0,0.5654747020088355,0.06168926886792453,0.06121855460229751,0.06405887470997684,0.078
27117,Pipestone County,Minnesota,0.9265199956648965,0.24471659260864853,0.4366,58288.0,0.6316823347832188,0.03065304309195913,0.09208333333333334,0.07348000433510349,0.028999999999999998
27117,Pipestone County,Minnesota,0.9265199956648965,0.24471659260864853,0.4366,58288.0,0.6316823347832188,0.03065304309195913,0.09208333333333334,0.07348000433510349,0.042
27119,Polk County,Minnesota,0.9469196472158037,0.21931851466137273,0.432,61643.0,0.6430151577222449,0.04427879714576962,0.07021665361524407,0.053080352784196316,0.031000000000000003
27119,Polk County,Minnesota,0.9469196472158037,0.21931851466137273,0.432,61643.0,0.6430151577222449,0.04427879714576962,0.07021665361524407,0.053080352784196316,0.034
27121,Pope County,Minnesota,0.9698096101541251,0.1600181323662738,0.4108,67040.0,0.6389195148842337,0.012251941328731666,0.03940428172510084,0.030190389845874854,0.039
27121,Pope County,Minnesota,0.9698096101541251,0.1600181323662738,0.4108,67040.0,0.6389195148842337,0.012251941328731666,0.03940428172510084,0.030190389845874854,0.036000000000000004
27123,Ramsey County,Minnesota,0.9497500792744509,0.24762039177158693,0.4637,71494.0,0.6891319087307262,0.04834348437186266,0.08918166515602745,0.050249920725549124,0.026000000000000002
27123,Ramsey County,Minnesota,0.9497500792744509,0.24762039177158693,0.4637,71494.0,0.6891319087307262,0.04834348437186266,0.08918166515602745,0.050249920725549124,0.027999999999999997
27125,Red Lake County,Minnesota,0.9708588957055214,0.16973415132924335,0.4078,62417.0,0.6379029632041681,0.019908116385911178,0.044933078393881457,0.02914110429447858,0.055999999999999994
